name_name,name_rate
 Poco F1 by Xiaomi ,"15,289"
 POCO F1 MZB6645IN ,"12,399"
 POCO F1 MZB6650IN ,"15,999"
 POCO F1 MZB6713IN ,"15,799"
 Realme 2 Pro RMX1801 ,"7,999"
 Realme 2 RMX1805 ,"7,489"
 Realme 3i 3Gb 32Gb ,"8,999"
 Realme C1 ,"5,999"
 Realme XT ,"17,990"
 Redmi 5 ,"5,389"
 Redmi 6 ,"5,499"
 Redmi 6 Pro ,"8,999"
 Redmi 7 ,"6,999"
 Redmi K20 ,"17,899"
 Redmi K20 ,"20,999"
 Redmi K20 6Gb 64Gb ,"20,999"
 Redmi K20 Pro ,"26,999"
 Redmi Note 5 3GB Gold,"7,999"
 Redmi Note 5 MZB5916IN ,"8,449"
 Redmi Note 5 MZB5917IN ,"7,410"
 Redmi Note 5 Pro ,10129
 Redmi Note 5 Pro ,"9,999"
 Redmi Note 5 Pro ,"7,900"
 Redmi Note 6 Pro 64GB ,"10,429"
 Redmi Note 7 ,"8,199"
 Redmi Note 7 ,"7,199"
 Redmi Note 7 ,"7,189"
 Redmi Note 7 Pro ,"11,990"
 Redmi Note 7S ,"9,799.00"
 Samsung Galaxy A10s ,"8,399"
 Samsung Galaxy A20 ,"8,489"
 Samsung Galaxy A20s ,"12,600"
 Samsung Galaxy A30 ,"9,297"
 Samsung Galaxy A50 ,"15,490"
 Samsung Galaxy A50 ,"12,986"
 Samsung Galaxy A50 ,"13,311"
 Samsung Galaxy A50 ,"15,032.00"
 Samsung Galaxy A50s ,"19,800"
 Samsung Galaxy A50s ,"16,890"
 Samsung Galaxy A50s ,"18,000"
 Samsung Galaxy A50s ,"18,999"
 Samsung Galaxy A50s ,"18,499"
 Samsung Galaxy A70s ,"23,499"
 Samsung Galaxy A70s ,"24,999"
 Samsung Galaxy A70s ,"28,990"
 Samsung Galaxy A80 ,"31,000"
 Samsung Galaxy J2 SM-J200GZDDINS ,"3,499"
 Samsung Galaxy J5 ,"4,799"
 Samsung Galaxy J7 J7 SM-J710F ,"4,899"
 Samsung Galaxy J7 Nxt ,"5,999"
 Samsung Galaxy J7 Nxt SM-J701FZKDINS ,"5,999"
 Samsung Galaxy J7 Pro ,"8,998"
 Samsung Galaxy M20 ,"9,824"
 Samsung Galaxy Note 10 ,"63,000"
 Samsung Galaxy Note 9 ,"35,999"
 Samsung Galaxy Note 9 ,"35,901"
 Samsung Galaxy On NXT ,"8,999"
 Samsung Galaxy On7 ,"6,999"
 Samsung Galaxy ON7 G600F ,"4,999"
 Samsung Galaxy On8 SM-J710FN ,"7,299"
 Samsung Galaxy S10 ,"37,989"
 Samsung Galaxy S10 ,"38,982"
 Samsung Galaxy S5 SM-G900 ,10129
 Samsung Galaxy S9 ,"29,999"
 Samsung Galaxy S9 ,"28,993"
 Samsung Galaxy S9 ,"29,934"
 Samsung Galaxy S9 Plus ,"29,999"
 Samsung J2 Pro ,"4,999"
 Samsung On5 Pro G-550FY ,"6,499"
 Samsung On7 Pro G-600FY ,"5,999"
 Sony Z5 Dual ,"13,999"
 Tecno Camon iClick2 ,"7,699"
 Vivo NEX ,"20,999"
 Vivo Nex ,"19,999"
 Vivo V11 ,"12,399"
 Vivo V15 Pro ,"15,999"
 Vivo V5 ,"6,499"
 Vivo V9 Pro ,"12,249"
 Vivo V9 Youth ,"8,959"
 Vivo Y12 ,"9,499"
 Vivo Y17 ,"11,999"
 Vivo Y55L ,"5,999"
 Vivo Y66 ,"7,799"
 Vivo Y69 PD1705 ,"8,999"
 Vivo Y91 1816 ,"7,799"
 Vivo Y93 1814 ,"8,999"
 Vivo Y93 1815 ,"9,999"
 Vivo Y95 ,"9,199"
 Vivo Y95 ,"9,949"
" Xiaomi Mi A3 4GB RAM, 64GB Storage ","10,979"
 Xiaomi Redmi 6A ,"5,499"
 Xiaomi Redmi Note 7 Pro ,"9,994"
 Xolo Q1000S Plus ,"7,990"
 Yu Yunicorn ,"4,999"
 YU Yutopia YU5050 ,"4,499"
10.or Crafted for Amazon G2 ,"8,999"
10.or Crafted for Amazon G2 ,"9,999"
A2 ,"10,989"
AGM India Gadgets - 128GB X2 Rugged Dual Sim Mobile Phone: Android 7.1: 6GB RAM: IP68 Waterproof,"42,500"
Anik by Eapp AppleCare Protection Plan for iPhone ,"4,499"
Anik by Eapp AppleCare Protection Plan for iPhone ,"4,399"
Apple iPhone 11 ,"64,900"
Apple iPhone 11 Pro ,"1,13,900"
Apple iPhone 11 Pro ,"99,900"
Apple iPhone 11 Pro ,"1,31,900"
Apple iPhone 11 Pro Max ,"1,41,900"
Apple iPhone 11 Pro Max ,"1,09,900"
